Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
67a	a	69	1	jedno	sudi?	iĂ„â€ˇ	19	5	868	104	2	4	568	288	1	288	0	1	288	288	0
67a	a	71	10	vise	svira?	aĂ„Ĺ¤	1007	6	2140	166	2	4	216	216	1	216	1	0	460	216	0
67a	a	37	24	jedno	udaraljka	aljka	292	9	81	17	5	4	516	260	1	260	0	1	260	260	0
67a	a	73	41	jedno	ulaz?i?	Ă„Ĺ¤iĂ„â€ˇ	0.1	7	73	35	3	4	916	296	1	296	0	1	296	296	0
67a	a	39	2	jedno	umetnost	ost	69029	8	3001	310	3	4	920	296	2	448	0	1	448	448	0
67a	a	75	13	vise	uvojak	ak	196	6	5345	165	2	4	716	496	1	496	0	1	700	496	0
67a	a	77	44	vise	ven?anica	nica	2496	9	2280	181	4	4	352	188	1	188	0	1	188	188	0
67a	a	41	17	jedno	ven?i?	iĂ„â€ˇ	320	6	868	104	2	4	876	320	1	320	0	1	320	320	0
67a	a	43	42	vise	vernik	nik	13410	6	6585	266	3	4	260	260	1	260	0	1	260	260	0
67a	a	45	6	jedno	zemljarina	arina	18	10	46	12	5	4	2300	380	1	380	0	1	380	380	0
67a	a	79	38	jedno	zidi?	iĂ„â€ˇ	223	5	868	104	2	4	220	220	1	220	0	1	220	220	0
67a	a	81	4	vise	zvu?nik	nik	8794	7	6585	266	3	4	264	264	1	264	0	1	264	264	0
68b	b	48	33	jedno	?lanarina	arina	4717	9	46	12	5	4	1564	220	4	904	0	1	904	904	0
68b	b	50	27	jedno	?vori?	iĂ„â€ˇ	444	6	868	104	2	4	448	160	1	160	0	1	876	448	288
68b	b	8	18	vise	?vrstina	ina	2303	8	6155	225	3	4	772	276	3	772	0	1	772	772	0
68b	b	2	13	vise	an?elak	ak	331	7	5345	165	2	4	412	248	1	248	0	1	512	248	0
68b	b	4	31	vise	brija?	aĂ„Ĺ¤	636	6	2140	166	2	4	348	108	2	348	0	1	348	348	0
68b	b	6	40	vise	cvetak	ak	288	6	5345	165	2	4	692	216	2	692	0	1	692	692	0
68b	b	10	2	vise	davljenik	nik	386	9	6585	266	3	4	284	284	1	284	0	1	284	284	0
68b	b	12	20	vise	divljak	ak	1045	7	5345	165	2	4	304	304	1	304	0	1	304	304	0
68b	b	52	19	jedno	drĂ„Ä…Ă„Äľavnost	ost	4745	9	3001	310	3	4	852	180	3	852	0	1	852	852	0
68b	b	86	36	jedno	dvojnost	ost	222	8	3001	310	3	4	1208	284	3	976	0	1	976	976	0
68b	b	14	3	vise	dvorac	ac	5925	6	3764	191	2	4	480	160	2	480	0	1	480	480	0
68b	b	16	11	jedno	gusto?a	oĂ„â€ˇa	294	7	913	53	3	4	616	364	1	364	0	1	364	364	0
